,stock_id,date,open,max,min,close,trading_turnover,buy,up,down,sell,earn
0,1101,2021-10-08,50.4,50.3,49.6,50.4,5237,50.2,51.0,48.0,49.5,-0.013944223107569776
1,1101,2021-10-12,50.0,51.0,50.0,50.2,13294,50.5,51.0,48.0,49.5,-0.019801980198019802
2,1101,2021-10-13,50.4,50.6,49.9,50.5,13597,49.9,50.6,48.0,49.3,-0.012024048096192414
3,1101,2021-10-14,50.6,50.2,49.8,49.9,9851,50.1,50.2,48.0,49.1,-0.01996007984031936
4,1101,2021-10-15,50.0,50.2,49.8,50.1,9719,49.8,50.2,48.0,49.1,-0.014056224899598308
5,1101,2021-10-18,50.1,50.1,48.9,49.8,8863,49.1,50.1,47.85,48.975,-0.0025458248472505093
6,1101,2021-10-19,49.85,48.85,48.0,49.1,25238,48.35,49.0,47.85,48.425,0.0015511892450878126
7,1101,2021-10-20,48.85,48.75,48.35,48.35,28462,48.75,49.05,47.85,48.45,-0.006153846153846096
8,1101,2021-10-21,48.35,49.0,48.6,48.75,22709,48.8,49.05,47.85,48.45,-0.0071721311475408675
9,1101,2021-10-22,48.75,48.65,48.05,48.8,9504,48.25,49.05,47.85,48.45,0.004145077720207313
10,1101,2021-10-25,48.6,48.9,48.45,48.25,14578,48.45,49.05,47.85,48.45,0.0
11,1101,2021-10-26,48.55,48.6,48.2,48.45,14037,48.35,49.05,47.85,48.45,0.002068252326783897
12,1101,2021-10-27,48.45,48.7,48.25,48.35,9335,48.5,49.05,47.85,48.45,-0.0010309278350514879
13,1101,2021-10-28,48.35,48.5,48.2,48.5,6600,48.25,49.05,47.85,48.45,0.004145077720207313
14,1101,2021-10-29,48.5,48.25,48.1,48.25,12518,48.25,49.05,47.85,48.45,0.004145077720207313
15,1101,2021-11-01,48.25,48.75,48.1,48.25,8488,48.15,49.05,47.85,48.45,0.006230529595015665
16,1101,2021-11-02,48.4,48.25,48.05,48.15,9884,48.15,49.05,47.85,48.45,0.006230529595015665
17,1101,2021-11-03,48.15,48.35,48.05,48.15,6425,48.1,49.05,47.75,48.4,0.0062370062370061775
18,1101,2021-11-04,48.2,48.15,47.85,48.1,7100,48.15,49.05,47.3,48.175,0.0005192107995846019
19,1101,2021-11-05,48.05,48.95,48.25,48.15,14070,48.95,49.05,47.05,48.05,-0.018386108273748838
20,1101,2021-11-08,48.3,49.05,48.4,48.95,11805,48.8,49.05,46.5,47.775,-0.02100409836065571
21,1101,2021-11-09,49.0,48.75,48.4,48.8,8308,48.7,48.95,45.95,47.45,-0.02566735112936345
22,1101,2021-11-10,48.75,48.95,48.55,48.7,8869,48.8,48.95,45.95,47.45,-0.027663934426229393
23,1101,2021-11-11,48.75,48.8,48.3,48.8,10617,48.7,48.85,45.95,47.400000000000006,-0.02669404517453793
24,1101,2021-11-12,48.7,48.75,48.3,48.7,12139,48.6,48.85,45.95,47.400000000000006,-0.02469135802469127
25,1101,2021-11-15,48.7,48.85,48.35,48.6,14015,48.65,48.85,45.95,47.400000000000006,-0.025693730729701807
26,1101,2021-11-16,48.55,48.6,48.25,48.65,13963,48.55,48.6,45.95,47.275000000000006,-0.02626158599382063
27,1101,2021-11-17,48.55,48.5,48.25,48.55,12971,48.3,48.5,45.95,47.225,-0.02225672877846782
28,1101,2021-11-18,48.45,48.4,48.0,48.3,10838,48.3,48.4,45.95,47.175,-0.02329192546583851
29,1101,2021-11-19,48.3,48.2,47.85,48.3,14135,47.9,48.2,45.95,47.075,-0.01722338204592893
30,1101,2021-11-22,48.0,47.95,47.75,47.9,12399,47.8,47.95,45.95,46.95,-0.01778242677824256
31,1101,2021-11-23,47.9,47.75,47.3,47.8,10297,47.45,47.85,45.95,46.900000000000006,-0.011591148577449887
32,1101,2021-11-24,47.7,47.45,47.05,47.45,19599,47.15,47.85,45.95,46.900000000000006,-0.005302226935312681
33,1101,2021-11-25,47.4,47.05,46.5,47.15,14719,46.5,47.85,45.95,46.900000000000006,0.00860215053763453
34,1101,2021-11-26,47.0,46.65,45.95,46.5,24737,46.5,47.85,45.95,46.900000000000006,0.00860215053763453
35,1101,2021-11-29,46.05,47.3,46.0,46.5,18493,46.0,47.85,46.0,46.925,0.020108695652173852
36,1101,2021-11-30,46.5,46.85,46.0,46.0,33661,46.6,47.85,46.0,46.925,0.006974248927038535
37,1101,2021-12-01,46.0,46.7,46.3,46.6,16119,46.3,47.85,46.3,47.075,0.016738660907127553
38,1101,2021-12-02,46.6,46.85,46.4,46.3,14521,46.4,47.85,46.4,47.125,0.01562500000000003
39,1101,2021-12-03,46.55,47.35,46.4,46.4,14357,47.3,47.85,46.4,47.125,-0.0036997885835094537
40,1101,2021-12-06,46.45,47.55,46.9,47.3,15115,47.55,47.95,46.8,47.375,-0.003680336487907406
41,1101,2021-12-07,47.35,47.8,47.5,47.55,13117,47.7,48.1,46.8,47.45,-0.0052410901467505235
42,1101,2021-12-08,47.75,47.85,47.1,47.7,10357,47.4,48.15,46.8,47.474999999999994,0.0015822784810125684
43,1101,2021-12-09,47.8,47.6,47.1,47.4,9300,47.3,48.25,46.8,47.525,0.004756871035940834
44,1101,2021-12-10,47.4,47.75,47.1,47.3,9919,47.1,48.25,46.8,47.525,0.009023354564755778
45,1101,2021-12-13,47.3,47.2,46.95,47.1,7784,47.0,48.25,46.8,47.525,0.011170212765957416
46,1101,2021-12-14,47.05,47.3,46.8,47.0,9373,46.95,48.25,46.8,47.525,0.01224707135250257
47,1101,2021-12-15,46.95,47.15,46.8,46.95,11189,46.9,48.25,46.8,47.525,0.013326226012793178
48,1101,2021-12-16,47.0,47.6,46.9,46.9,7516,47.45,48.25,46.9,47.575,0.0026343519494204425
49,1101,2021-12-17,46.95,47.5,47.1,47.45,18502,47.4,48.25,47.0,47.625,0.004746835443038005
50,1101,2021-12-20,47.45,47.45,47.1,47.4,11309,47.25,48.25,47.0,47.625,0.007936507936507936
51,1101,2021-12-21,47.4,47.45,47.2,47.25,5666,47.4,48.25,47.0,47.625,0.004746835443038005
52,1101,2021-12-22,47.4,47.7,47.3,47.4,5460,47.7,48.25,47.0,47.625,-0.0015723270440252167
53,1101,2021-12-23,47.3,47.95,47.75,47.7,9371,47.9,48.25,47.0,47.625,-0.005741127348642977
54,1101,2021-12-24,47.75,48.1,47.9,47.9,5980,48.1,48.25,47.0,47.625,-0.009875259875259905
55,1101,2021-12-27,47.9,48.15,47.95,48.1,5709,48.15,48.25,47.0,47.625,-0.010903426791277229
56,1101,2021-12-28,48.1,48.25,48.05,48.15,7777,48.15,48.25,47.0,47.625,-0.010903426791277229
57,1101,2021-12-29,48.15,48.2,48.0,48.15,5309,48.0,48.2,47.0,47.6,-0.008333333333333304
58,1101,2021-12-30,48.15,48.15,47.35,48.0,4616,47.45,48.15,47.0,47.575,0.0026343519494204425
59,1101,2022-01-03,48.05,47.6,47.0,47.45,12350,47.3,47.95,47.0,47.475,0.003699788583509604
60,1101,2022-01-04,47.5,47.3,47.0,47.3,11439,47.15,47.95,47.0,47.475,0.006892895015906742
61,1101,2022-01-05,47.1,47.6,47.15,47.15,9709,47.6,47.95,46.6,47.275000000000006,-0.006827731092436885
62,1101,2022-01-06,47.3,47.65,47.2,47.6,12361,47.45,47.95,46.55,47.25,-0.004214963119072768
63,1101,2022-01-07,47.6,47.5,47.0,47.45,10921,47.3,47.95,46.0,46.975,-0.006871035940803293
64,1101,2022-01-10,47.45,47.5,47.1,47.3,11925,47.5,47.95,46.0,46.975,-0.011052631578947338
65,1101,2022-01-11,47.1,47.5,47.1,47.5,11047,47.5,47.95,46.0,46.975,-0.011052631578947338
66,1101,2022-01-12,47.5,47.95,47.4,47.5,10817,47.95,47.95,46.0,46.975,-0.02033368091762255
67,1101,2022-01-13,47.5,47.85,47.45,47.95,13849,47.6,47.85,46.0,46.925,-0.014180672268907651
68,1101,2022-01-14,47.85,47.7,47.35,47.6,9460,47.6,47.75,46.0,46.875,-0.015231092436974819
69,1101,2022-01-17,47.55,47.75,47.45,47.6,9070,47.75,47.75,46.0,46.875,-0.01832460732984293
70,1101,2022-01-18,47.6,47.7,47.5,47.75,8089,47.6,47.7,46.0,46.85,-0.015756302521008403
71,1101,2022-01-19,47.6,47.7,47.45,47.6,5115,47.5,47.7,46.0,46.85,-0.013684210526315759
72,1101,2022-01-20,47.55,47.65,47.15,47.5,6327,47.4,47.65,46.0,46.825,-0.012130801687763624
73,1101,2022-01-21,47.5,47.3,47.0,47.4,9470,47.15,47.75,46.0,46.875,-0.005832449628844084
74,1101,2022-01-24,47.1,47.05,46.6,47.15,5475,46.8,47.75,46.0,46.875,0.0016025641025641634
75,1101,2022-01-25,47.0,47.0,46.55,46.8,16153,46.85,47.85,46.0,46.925,0.0016008537886872088
76,1101,2022-01-26,46.7,47.1,46.0,46.85,7772,47.1,47.85,46.0,46.925,-0.003715498938428965
77,1101,2022-02-07,46.55,47.25,46.9,47.1,17031,46.95,47.85,46.8,47.325,0.007987220447284345
78,1101,2022-02-08,47.1,47.3,46.9,46.95,9741,47.3,47.85,46.8,47.325,0.0005285412262157651
79,1101,2022-02-09,46.95,47.55,47.05,47.3,7968,47.55,48.0,46.8,47.4,-0.003154574132492084
80,1101,2022-02-10,47.15,47.55,47.15,47.55,7479,47.55,48.05,46.8,47.425,-0.0026288117770767614
81,1101,2022-02-11,47.3,47.3,46.95,47.55,6841,47.15,48.05,46.8,47.425,0.005832449628844084
82,1101,2022-02-14,47.2,47.1,46.8,47.15,9136,47.0,48.05,46.8,47.425,0.009042553191489302
83,1101,2022-02-15,47.05,47.15,47.0,47.0,5444,47.0,48.05,46.85,47.45,0.009574468085106444
84,1101,2022-02-16,47.0,47.55,47.1,47.0,8762,47.45,48.05,46.85,47.45,0.0
85,1101,2022-02-17,47.15,47.55,47.2,47.45,10662,47.45,48.05,46.85,47.45,0.0
86,1101,2022-02-18,47.25,47.75,47.15,47.45,8781,47.6,48.05,46.85,47.45,-0.003151260504201651
87,1101,2022-02-21,47.35,47.7,47.1,47.6,8201,47.7,48.05,46.85,47.45,-0.0052410901467505235
88,1101,2022-02-22,47.4,47.85,47.45,47.7,10655,47.65,48.05,46.85,47.45,-0.004197271773347235
89,1101,2022-02-23,47.7,47.5,47.1,47.65,8040,47.3,48.05,46.85,47.45,0.0031712473572939894
90,1101,2022-02-24,47.5,47.5,46.9,47.3,13124,47.35,48.2,46.85,47.525000000000006,0.0036958817317846726
91,1101,2022-02-25,47.2,47.85,47.5,47.35,14556,47.8,48.95,46.85,47.900000000000006,0.0020920502092051994
92,1101,2022-03-01,47.8,48.0,47.6,47.8,14012,48.0,49.85,46.85,48.35,0.007291666666666696
93,1101,2022-03-02,47.8,48.05,47.8,48.0,8133,48.05,49.85,46.85,48.35,0.006243496357960547
94,1101,2022-03-03,47.95,47.85,47.5,48.05,7496,47.65,49.85,46.85,48.35,0.014690451206715695
95,1101,2022-03-04,47.8,47.45,46.9,47.65,10981,47.1,49.95,46.85,48.400000000000006,0.027600849256900303
96,1101,2022-03-07,47.45,47.15,46.85,47.1,16828,46.95,49.95,46.85,48.400000000000006,0.03088391906283286
97,1101,2022-03-08,47.0,47.4,47.05,46.95,15626,47.25,49.95,47.05,48.5,0.026455026455026454
98,1101,2022-03-09,47.3,47.7,47.2,47.25,5508,47.6,50.2,47.2,48.7,0.02310924369747902
99,1101,2022-03-10,47.25,47.6,47.3,47.6,9404,47.45,50.2,47.3,48.75,0.027397260273972542
100,1101,2022-03-11,47.4,47.7,47.4,47.45,6567,47.55,50.2,47.4,48.8,0.026288117770767616
101,1101,2022-03-14,47.45,48.0,47.4,47.55,8094,47.95,50.2,47.4,48.8,0.01772679874869644
102,1101,2022-03-15,47.5,48.0,47.65,47.95,10641,47.85,50.2,47.65,48.925,0.02246603970741893
103,1101,2022-03-16,47.95,48.2,47.85,47.85,11256,48.0,50.2,47.85,49.025000000000006,0.021354166666666785
104,1101,2022-03-17,48.1,48.95,48.1,48.0,16944,48.95,50.2,48.1,49.150000000000006,0.004085801838610886
105,1101,2022-03-18,48.1,49.85,49.05,48.95,31706,49.75,,,,
106,1101,2022-03-21,49.1,49.75,49.3,49.75,24218,49.7,,,,
107,1101,2022-03-22,49.7,49.7,49.45,49.7,10974,49.65,,,,
108,1101,2022-03-23,49.7,49.95,49.45,49.65,12497,49.95,,,,
109,1101,2022-03-24,49.65,49.9,49.55,49.95,14015,49.7,,,,
110,1101,2022-03-25,49.9,49.75,49.1,49.7,8739,49.7,,,,
111,1101,2022-03-28,49.4,50.2,49.5,49.7,8505,49.8,,,,
112,1101,2022-03-29,49.8,50.0,49.7,49.8,8017,49.85,,,,
113,1101,2022-03-30,49.85,50.2,49.85,49.85,9604,49.9,,,,
114,1101,2022-03-31,49.95,50.0,49.45,49.9,15106,49.75,,,,
115,1101,2022-04-01,49.7,50.2,49.6,49.75,9847,50.2,,,,
116,1101,2022-04-06,49.75,50.2,49.5,50.2,10907,49.55,,,,
117,1101,2022-04-07,49.8,49.8,49.4,49.55,11152,49.8,,,,
118,1101,2022-04-08,49.6,,,49.8,6437,,,,,
